Time and date,EEG Fpz-Cz,reference,EEG Pz-Oz,Sleep Stage
'[16:13:08.710 24/04/1989]',85.333,-85.333,-3.551,
'[16:13:08.720 24/04/1989]',78.488,-78.488,-7.87,
'[16:13:08.730 24/04/1989]',102.963,-102.963,-12.092,
'[16:13:08.740 24/04/1989]',114.497,-114.497,-11.612,
'[16:13:08.750 24/04/1989]',114.59,-114.59,-2.879,
'[16:13:08.760 24/04/1989]',113.09,-113.09,-4.415,
'[16:13:08.770 24/04/1989]',111.684,-111.684,-1.919,
'[16:13:08.780 24/04/1989]',110.371,-110.371,-6.814,
'[16:13:08.790 24/04/1989]',107.37,-107.37,-3.263,
'[16:13:08.800 24/04/1989]',105.495,-105.495,-4.511,
'[16:13:08.810 24/04/1989]',102.963,-102.963,-0.192,
'[16:13:08.820 24/04/1989]',99.774,-99.774,-5.182,
'[16:13:08.830 24/04/1989]',97.711,-97.711,-2.591,
'[16:13:08.840 24/04/1989]',93.585,-93.585,-3.647,
'[16:13:08.850 24/04/1989]',91.804,-91.804,-3.359,
'[16:13:08.860 24/04/1989]',84.583,-84.583,-5.086,
'[16:13:08.870 24/04/1989]',78.488,-78.488,-5.086,
'[16:13:08.880 24/04/1989]',69.673,-69.673,-8.829,
'[16:13:08.890 24/04/1989]',65.829,-65.829,-13.532,
'[16:13:08.900 24/04/1989]',65.547,-65.547,-12.86,
'[16:13:08.910 24/04/1989]',57.108,-57.108,-17.755,
'[16:13:08.920 24/04/1989]',51.763,-51.763,-16.411,
'[16:13:08.930 24/04/1989]',48.105,-48.105,-11.612,
'[16:13:08.940 24/04/1989]',48.762,-48.762,-8.637,
'[16:13:08.950 24/04/1989]',50.825,-50.825,7.39,
'[16:13:08.960 24/04/1989]',48.387,-48.387,7.582,
'[16:13:08.970 24/04/1989]',39.76,-39.76,7.966,
'[16:13:08.980 24/04/1989]',34.508,-34.508,2.687,
'[16:13:08.990 24/04/1989]',31.789,-31.789,-2.687,
'[16:13:09.000 24/04/1989]',22.13,-22.13,-0.768,
'[16:13:09.010 24/04/1989]',20.255,-20.255,-0.672,
'[16:13:09.020 24/04/1989]',13.597,-13.597,0.576,
'[16:13:09.030 24/04/1989]',6.939,-6.939,4.415,
'[16:13:09.040 24/04/1989]',4.782,-4.782,4.415,
'[16:13:09.050 24/04/1989]',0.375,-0.375,2.207,
'[16:13:09.060 24/04/1989]',1.125,1.125,3.455,
'[16:13:09.070 24/04/1989]',21.849,21.849,5.086,
'[16:13:09.080 24/04/1989]',6.189,6.189,3.551,
'[16:13:09.090 24/04/1989]',13.972,13.972,5.374,
'[16:13:09.100 24/04/1989]',14.347,14.347,5.47,
'[16:13:09.110 24/04/1989]',15.379,15.379,10.845,
'[16:13:09.120 24/04/1989]',16.692,16.692,11.229,
'[16:13:09.130 24/04/1989]',28.788,28.788,2.879,
'[16:13:09.140 24/04/1989]',22.318,22.318,8.158,
'[16:13:09.150 24/04/1989]',40.604,40.604,6.238,
'[16:13:09.160 24/04/1989]',6.283,6.283,8.062,
'[16:13:09.170 24/04/1989]',10.878,10.878,14.204,
'[16:13:09.180 24/04/1989]',9.846,9.846,13.148,
'[16:13:09.190 24/04/1989]',8.627,8.627,12.764,
'[16:13:09.200 24/04/1989]',12.941,12.941,12.86,
'[16:13:09.210 24/04/1989]',12.847,12.847,21.593,
'[16:13:09.220 24/04/1989]',14.347,14.347,15.163,
'[16:13:09.230 24/04/1989]',12.19,12.19,12.86,
'[16:13:09.240 24/04/1989]',35.727,35.727,7.39,
'[16:13:09.250 24/04/1989]',35.634,35.634,6.046,
'[16:13:09.260 24/04/1989]',35.352,35.352,2.015,
'[16:13:09.270 24/04/1989]',46.605,46.605,-0.288,
'[16:13:09.280 24/04/1989]',46.98,46.98,-6.622,
'[16:13:09.290 24/04/1989]',42.76,42.76,-3.647,
'[16:13:09.300 24/04/1989]',43.886,43.886,-3.935,
'[16:13:09.310 24/04/1989]',41.448,41.448,5.662,
'[16:13:09.320 24/04/1989]',39.197,39.197,7.486,
'[16:13:09.330 24/04/1989]',40.416,40.416,12.572,
'[16:13:09.340 24/04/1989]',39.76,39.76,22.937,
'[16:13:09.350 24/04/1989]',37.415,37.415,15.451,
'[16:13:09.360 24/04/1989]',41.166,41.166,13.34,
'[16:13:09.370 24/04/1989]',41.823,41.823,5.278,
'[16:13:09.380 24/04/1989]',46.418,46.418,1.823,
'[16:13:09.390 24/04/1989]',46.418,46.418,-1.344,
'[16:13:09.400 24/04/1989]',31.883,31.883,2.111,
'[16:13:09.410 24/04/1989]',44.448,44.448,-0.192,
'[16:13:09.420 24/04/1989]',37.509,37.509,1.919,
'[16:13:09.430 24/04/1989]',28.413,28.413,10.365,
'[16:13:09.440 24/04/1989]',33.852,33.852,9.885,
'[16:13:09.450 24/04/1989]',31.133,31.133,11.996,
'[16:13:09.460 24/04/1989]',34.415,34.415,10.749,
'[16:13:09.470 24/04/1989]',30.664,30.664,9.309,
'[16:13:09.480 24/04/1989]',24.85,24.85,12.956,
'[16:13:09.490 24/04/1989]',16.785,16.785,11.996,
'[16:13:09.500 24/04/1989]',17.723,17.723,15.547,
'[16:13:09.510 24/04/1989]',23.256,23.256,14.204,
'[16:13:09.520 24/04/1989]',22.787,22.787,13.82,
'[16:13:09.530 24/04/1989]',21.755,21.755,8.829,
'[16:13:09.540 24/04/1989]',20.724,20.724,4.031,
'[16:13:09.550 24/04/1989]',23.256,23.256,2.495,
'[16:13:09.560 24/04/1989]',18.098,18.098,-2.591,
'[16:13:09.570 24/04/1989]',17.348,17.348,-2.111,
'[16:13:09.580 24/04/1989]',16.879,16.879,5.374,
'[16:13:09.590 24/04/1989]',21.849,21.849,6.814,
'[16:13:09.600 24/04/1989]',19.974,19.974,6.43,
'[16:13:09.610 24/04/1989]',26.256,26.256,14.012,
'[16:13:09.620 24/04/1989]',23.068,23.068,11.229,
'[16:13:09.630 24/04/1989]',25.131,25.131,10.845,
'[16:13:09.640 24/04/1989]',22.412,22.412,10.653,
'[16:13:09.650 24/04/1989]',27.569,27.569,6.622,
'[16:13:09.660 24/04/1989]',15.473,15.473,6.238,
'[16:13:09.670 24/04/1989]',16.785,16.785,8.062,
'[16:13:09.680 24/04/1989]',20.442,20.442,2.495,
'[16:13:09.690 24/04/1989]',19.13,19.13,7.966,
'[16:13:09.700 24/04/1989]',19.13,19.13,5.95,
'[16:13:09.710 24/04/1989]',22.037,22.037,4.703,
'[16:13:09.720 24/04/1989]',27.194,27.194,5.47,
'[16:13:09.730 24/04/1989]',24.662,24.662,1.823,
'[16:13:09.740 24/04/1989]',21.005,21.005,2.207,
'[16:13:09.750 24/04/1989]',20.818,20.818,3.551,
'[16:13:09.760 24/04/1989]',17.348,17.348,5.95,
'[16:13:09.770 24/04/1989]',19.786,19.786,6.142,
'[16:13:09.780 24/04/1989]',16.41,16.41,6.334,
'[16:13:09.790 24/04/1989]',22.037,22.037,7.774,
'[16:13:09.800 24/04/1989]',19.505,19.505,5.47,
'[16:13:09.810 24/04/1989]',21.568,21.568,2.783,
'[16:13:09.820 24/04/1989]',24.1,24.1,-0.48,
'[16:13:09.830 24/04/1989]',22.599,22.599,4.99,
'[16:13:09.840 24/04/1989]',21.005,21.005,1.344,
'[16:13:09.850 24/04/1989]',23.631,23.631,1.056,
'[16:13:09.860 24/04/1989]',26.069,26.069,-2.303,
'[16:13:09.870 24/04/1989]',23.537,23.537,-2.879,
'[16:13:09.880 24/04/1989]',24.944,24.944,-1.44,
'[16:13:09.890 24/04/1989]',37.134,37.134,-5.758,
'[16:13:09.900 24/04/1989]',34.321,34.321,-1.536,
'[16:13:09.910 24/04/1989]',38.634,38.634,-1.248,
'[16:13:09.920 24/04/1989]',15.191,15.191,-3.455,
'[16:13:09.930 24/04/1989]',32.821,32.821,-5.086,
'[16:13:09.940 24/04/1989]',30.101,30.101,-6.622,
'[16:13:09.950 24/04/1989]',18.942,18.942,-5.182,
'[16:13:09.960 24/04/1989]',26.256,26.256,-1.919,
'[16:13:09.970 24/04/1989]',30.664,30.664,-6.142,
'[16:13:09.980 24/04/1989]',27.944,27.944,-5.854,
'[16:13:09.990 24/04/1989]',37.79,37.79,-3.359,
