'Time and date',Temporary,EEG Fpz-Cz
'[16:13:32.410 24/04/1989]',-7.033,7.033
'[16:13:32.420 24/04/1989]',-7.408,7.408
'[16:13:32.430 24/04/1989]',2.626,2.626
'[16:13:32.440 24/04/1989]',1.125,1.125
'[16:13:32.450 24/04/1989]',-2.251,2.251
'[16:13:32.460 24/04/1989]',-0.094,0.094
'[16:13:32.470 24/04/1989]',7.971,7.971
'[16:13:32.480 24/04/1989]',7.596,7.596
'[16:13:32.490 24/04/1989]',-2.532,2.532
'[16:13:32.500 24/04/1989]',-2.719,2.719
'[16:13:32.510 24/04/1989]',-0.656,0.656
'[16:13:32.520 24/04/1989]',-4.407,4.407
'[16:13:32.530 24/04/1989]',-5.345,5.345
'[16:13:32.540 24/04/1989]',7.877,7.877
'[16:13:32.550 24/04/1989]',-19.786,19.786
'[16:13:32.560 24/04/1989]',3.376,3.376
'[16:13:32.570 24/04/1989]',6.658,6.658
'[16:13:32.580 24/04/1989]',3.47,3.47
'[16:13:32.590 24/04/1989]',-0.188,0.188
'[16:13:32.600 24/04/1989]',5.814,5.814
'[16:13:32.610 24/04/1989]',5.72,5.72
'[16:13:32.620 24/04/1989]',10.971,10.971
'[16:13:32.630 24/04/1989]',3.657,3.657
'[16:13:32.640 24/04/1989]',5.533,5.533
'[16:13:32.650 24/04/1989]',3.376,3.376
'[16:13:32.660 24/04/1989]',5.72,5.72
'[16:13:32.670 24/04/1989]',4.126,4.126
'[16:13:32.680 24/04/1989]',6.283,6.283
'[16:13:32.690 24/04/1989]',12.659,12.659
'[16:13:32.700 24/04/1989]',7.971,7.971
'[16:13:32.710 24/04/1989]',27.944,27.944
'[16:13:32.720 24/04/1989]',3.563,3.563
'[16:13:32.730 24/04/1989]',12.19,12.19
'[16:13:32.740 24/04/1989]',9.096,9.096
'[16:13:32.750 24/04/1989]',5.908,5.908
'[16:13:32.760 24/04/1989]',16.504,16.504
'[16:13:32.770 24/04/1989]',7.689,7.689
'[16:13:32.780 24/04/1989]',13.785,13.785
'[16:13:32.790 24/04/1989]',9.471,9.471
'[16:13:32.800 24/04/1989]',13.41,13.41
'[16:13:32.810 24/04/1989]',7.221,7.221
'[16:13:32.820 24/04/1989]',10.971,10.971
'[16:13:32.830 24/04/1989]',10.971,10.971
'[16:13:32.840 24/04/1989]',12.003,12.003
'[16:13:32.850 24/04/1989]',3.282,3.282
'[16:13:32.860 24/04/1989]',6.377,6.377
'[16:13:32.870 24/04/1989]',5.439,5.439
'[16:13:32.880 24/04/1989]',12.659,12.659
'[16:13:32.890 24/04/1989]',0.375,0.375
'[16:13:32.900 24/04/1989]',6.47,6.47
'[16:13:32.910 24/04/1989]',6.658,6.658
'[16:13:32.920 24/04/1989]',15.848,15.848
'[16:13:32.930 24/04/1989]',26.444,26.444
'[16:13:32.940 24/04/1989]',-4.782,4.782
'[16:13:32.950 24/04/1989]',0.844,0.844
'[16:13:32.960 24/04/1989]',4.595,4.595
'[16:13:32.970 24/04/1989]',-1.125,1.125
'[16:13:32.980 24/04/1989]',3.751,3.751
'[16:13:32.990 24/04/1989]',-0.094,0.094
'[16:13:33.000 24/04/1989]',2.907,2.907
'[16:13:33.010 24/04/1989]',4.314,4.314
'[16:13:33.020 24/04/1989]',-0.75,0.75
'[16:13:33.030 24/04/1989]',0,0
'[16:13:33.040 24/04/1989]',1.125,1.125
'[16:13:33.050 24/04/1989]',2.719,2.719
'[16:13:33.060 24/04/1989]',3.282,3.282
'[16:13:33.070 24/04/1989]',0.469,0.469
'[16:13:33.080 24/04/1989]',3.563,3.563
'[16:13:33.090 24/04/1989]',-1.5,1.5
'[16:13:33.100 24/04/1989]',-1.969,1.969
'[16:13:33.110 24/04/1989]',2.438,2.438
'[16:13:33.120 24/04/1989]',-12.003,12.003
'[16:13:33.130 24/04/1989]',-11.534,11.534
'[16:13:33.140 24/04/1989]',-9.565,9.565
'[16:13:33.150 24/04/1989]',-16.129,16.129
'[16:13:33.160 24/04/1989]',-11.065,11.065
'[16:13:33.170 24/04/1989]',-18.192,18.192
'[16:13:33.180 24/04/1989]',-13.034,13.034
'[16:13:33.190 24/04/1989]',-19.974,19.974
'[16:13:33.200 24/04/1989]',-13.597,13.597
'[16:13:33.210 24/04/1989]',-6.845,6.845
'[16:13:33.220 24/04/1989]',-12.19,12.19
'[16:13:33.230 24/04/1989]',-8.627,8.627
'[16:13:33.240 24/04/1989]',-14.816,14.816
'[16:13:33.250 24/04/1989]',-12.566,12.566
'[16:13:33.260 24/04/1989]',-17.723,17.723
'[16:13:33.270 24/04/1989]',-20.067,20.067
'[16:13:33.280 24/04/1989]',-13.785,13.785
'[16:13:33.290 24/04/1989]',-24.006,24.006
'[16:13:33.300 24/04/1989]',-19.317,19.317
'[16:13:33.310 24/04/1989]',-22.13,22.13
'[16:13:33.320 24/04/1989]',-15.566,15.566
'[16:13:33.330 24/04/1989]',-21.662,21.662
'[16:13:33.340 24/04/1989]',-10.503,10.503
'[16:13:33.350 24/04/1989]',-16.035,16.035
'[16:13:33.360 24/04/1989]',-12.003,12.003
'[16:13:33.370 24/04/1989]',-12.659,12.659
'[16:13:33.380 24/04/1989]',-11.44,11.44
'[16:13:33.390 24/04/1989]',-9.752,9.752
'[16:13:33.400 24/04/1989]',-14.16,14.16
'[16:13:33.410 24/04/1989]',-5.439,5.439
'[16:13:33.420 24/04/1989]',-16.129,16.129
'[16:13:33.430 24/04/1989]',-10.784,10.784
'[16:13:33.440 24/04/1989]',-13.222,13.222
'[16:13:33.450 24/04/1989]',-5.439,5.439
'[16:13:33.460 24/04/1989]',-12.19,12.19
'[16:13:33.470 24/04/1989]',-13.41,13.41
'[16:13:33.480 24/04/1989]',-18.286,18.286
'[16:13:33.490 24/04/1989]',-13.034,13.034
'[16:13:33.500 24/04/1989]',-11.253,11.253
'[16:13:33.510 24/04/1989]',-22.881,22.881
'[16:13:33.520 24/04/1989]',-17.254,17.254
'[16:13:33.530 24/04/1989]',-15.66,15.66
'[16:13:33.540 24/04/1989]',-7.314,7.314
'[16:13:33.550 24/04/1989]',-12.847,12.847
'[16:13:33.560 24/04/1989]',-15.941,15.941
'[16:13:33.570 24/04/1989]',-7.971,7.971
'[16:13:33.580 24/04/1989]',-8.346,8.346
'[16:13:33.590 24/04/1989]',-6.564,6.564
'[16:13:33.600 24/04/1989]',-13.128,13.128
'[16:13:33.610 24/04/1989]',-7.502,7.502
'[16:13:33.620 24/04/1989]',-7.502,7.502
'[16:13:33.630 24/04/1989]',-14.629,14.629
'[16:13:33.640 24/04/1989]',-5.908,5.908
'[16:13:33.650 24/04/1989]',4.032,4.032
'[16:13:33.660 24/04/1989]',-0.281,0.281
'[16:13:33.670 24/04/1989]',4.126,4.126
'[16:13:33.680 24/04/1989]',3.751,3.751
'[16:13:33.690 24/04/1989]',5.626,5.626
'[16:13:33.700 24/04/1989]',17.067,17.067
'[16:13:33.710 24/04/1989]',8.346,8.346
'[16:13:33.720 24/04/1989]',9.002,9.002
'[16:13:33.730 24/04/1989]',4.876,4.876
'[16:13:33.740 24/04/1989]',5.626,5.626
'[16:13:33.750 24/04/1989]',13.597,13.597
'[16:13:33.760 24/04/1989]',11.253,11.253
'[16:13:33.770 24/04/1989]',19.13,19.13
'[16:13:33.780 24/04/1989]',8.252,8.252
'[16:13:33.790 24/04/1989]',10.69,10.69
'[16:13:33.800 24/04/1989]',12.097,12.097
'[16:13:33.810 24/04/1989]',12.003,12.003
'[16:13:33.820 24/04/1989]',4.032,4.032
'[16:13:33.830 24/04/1989]',4.032,4.032
'[16:13:33.840 24/04/1989]',14.535,14.535
'[16:13:33.850 24/04/1989]',7.971,7.971
'[16:13:33.860 24/04/1989]',2.813,2.813
'[16:13:33.870 24/04/1989]',3.282,3.282
'[16:13:33.880 24/04/1989]',-5.158,5.158
'[16:13:33.890 24/04/1989]',-5.533,5.533
'[16:13:33.900 24/04/1989]',-0.188,0.188
'[16:13:33.910 24/04/1989]',-12.003,12.003
'[16:13:33.920 24/04/1989]',-0.75,0.75
'[16:13:33.930 24/04/1989]',-2.907,2.907
'[16:13:33.940 24/04/1989]',-17.629,17.629
'[16:13:33.950 24/04/1989]',-3.657,3.657
'[16:13:33.960 24/04/1989]',-8.908,8.908
'[16:13:33.970 24/04/1989]',-1.407,1.407
'[16:13:33.980 24/04/1989]',-7.033,7.033
'[16:13:33.990 24/04/1989]',-3.938,3.938
'[16:13:34.000 24/04/1989]',-3.563,3.563
'[16:13:34.010 24/04/1989]',-15.473,15.473
'[16:13:34.020 24/04/1989]',-6.095,6.095
'[16:13:34.030 24/04/1989]',-4.407,4.407
'[16:13:34.040 24/04/1989]',-7.971,7.971
'[16:13:34.050 24/04/1989]',-2.344,2.344
'[16:13:34.060 24/04/1989]',-2.719,2.719
'[16:13:34.070 24/04/1989]',0.375,0.375
'[16:13:34.080 24/04/1989]',0.188,0.188
'[16:13:34.090 24/04/1989]',2.907,2.907
'[16:13:34.100 24/04/1989]',-6.658,6.658
'[16:13:34.110 24/04/1989]',-6.283,6.283
'[16:13:34.120 24/04/1989]',-0.281,0.281
'[16:13:34.130 24/04/1989]',-2.532,2.532
'[16:13:34.140 24/04/1989]',3.095,3.095
'[16:13:34.150 24/04/1989]',1.032,1.032
'[16:13:34.160 24/04/1989]',7.783,7.783
'[16:13:34.170 24/04/1989]',-6.752,6.752
'[16:13:34.180 24/04/1989]',-3.095,3.095
'[16:13:34.190 24/04/1989]',-11.253,11.253
'[16:13:34.200 24/04/1989]',-1.875,1.875
'[16:13:34.210 24/04/1989]',-0.188,0.188
'[16:13:34.220 24/04/1989]',-0.188,0.188
'[16:13:34.230 24/04/1989]',5.72,5.72
'[16:13:34.240 24/04/1989]',-2.157,2.157
'[16:13:34.250 24/04/1989]',-1.407,1.407
'[16:13:34.260 24/04/1989]',5.814,5.814
'[16:13:34.270 24/04/1989]',9.096,9.096
'[16:13:34.280 24/04/1989]',5.533,5.533
'[16:13:34.290 24/04/1989]',4.314,4.314
'[16:13:34.300 24/04/1989]',2.907,2.907
'[16:13:34.310 24/04/1989]',0.469,0.469
'[16:13:34.320 24/04/1989]',-5.533,5.533
'[16:13:34.330 24/04/1989]',-9.565,9.565
'[16:13:34.340 24/04/1989]',0,0
'[16:13:34.350 24/04/1989]',-1.032,1.032
'[16:13:34.360 24/04/1989]',-1.219,1.219
'[16:13:34.370 24/04/1989]',-5.251,5.251
'[16:13:34.380 24/04/1989]',1.969,1.969
'[16:13:34.390 24/04/1989]',4.126,4.126
'[16:13:34.400 24/04/1989]',-0.844,0.844
'[16:13:34.410 24/04/1989]',-9.19,9.19
'[16:13:34.420 24/04/1989]',-3.845,3.845
'[16:13:34.430 24/04/1989]',-0.281,0.281
'[16:13:34.440 24/04/1989]',0.281,0.281
'[16:13:34.450 24/04/1989]',-3.095,3.095
'[16:13:34.460 24/04/1989]',-2.532,2.532
'[16:13:34.470 24/04/1989]',-0.844,0.844
'[16:13:34.480 24/04/1989]',-1.782,1.782
'[16:13:34.490 24/04/1989]',7.408,7.408
'[16:13:34.500 24/04/1989]',3.751,3.751
'[16:13:34.510 24/04/1989]',4.126,4.126
'[16:13:34.520 24/04/1989]',6.001,6.001
'[16:13:34.530 24/04/1989]',8.815,8.815
'[16:13:34.540 24/04/1989]',5.626,5.626
'[16:13:34.550 24/04/1989]',12.753,12.753
'[16:13:34.560 24/04/1989]',10.503,10.503
'[16:13:34.570 24/04/1989]',11.815,11.815
'[16:13:34.580 24/04/1989]',7.689,7.689
'[16:13:34.590 24/04/1989]',12.097,12.097
'[16:13:34.600 24/04/1989]',1.5,1.5
'[16:13:34.610 24/04/1989]',7.314,7.314
'[16:13:34.620 24/04/1989]',8.064,8.064
'[16:13:34.630 24/04/1989]',13.785,13.785
'[16:13:34.640 24/04/1989]',12.566,12.566
'[16:13:34.650 24/04/1989]',17.067,17.067
'[16:13:34.660 24/04/1989]',18.286,18.286
'[16:13:34.670 24/04/1989]',22.599,22.599
'[16:13:34.680 24/04/1989]',19.599,19.599
'[16:13:34.690 24/04/1989]',15.004,15.004
'[16:13:34.700 24/04/1989]',22.599,22.599
'[16:13:34.710 24/04/1989]',16.879,16.879
'[16:13:34.720 24/04/1989]',22.318,22.318
'[16:13:34.730 24/04/1989]',24.1,24.1
'[16:13:34.740 24/04/1989]',11.722,11.722
'[16:13:34.750 24/04/1989]',10.971,10.971
'[16:13:34.760 24/04/1989]',15.848,15.848
'[16:13:34.770 24/04/1989]',21.662,21.662
'[16:13:34.780 24/04/1989]',32.07,32.07
'[16:13:34.790 24/04/1989]',24.006,24.006
'[16:13:34.800 24/04/1989]',23.068,23.068
'[16:13:34.810 24/04/1989]',14.066,14.066
'[16:13:34.820 24/04/1989]',20.442,20.442
'[16:13:34.830 24/04/1989]',15.941,15.941
'[16:13:34.840 24/04/1989]',3.376,3.376
'[16:13:34.850 24/04/1989]',6.377,6.377
'[16:13:34.860 24/04/1989]',-2.344,2.344
'[16:13:34.870 24/04/1989]',1.125,1.125
'[16:13:34.880 24/04/1989]',4.032,4.032
'[16:13:34.890 24/04/1989]',-5.814,5.814
'[16:13:34.900 24/04/1989]',-1.313,1.313
'[16:13:34.910 24/04/1989]',2.251,2.251
'[16:13:34.920 24/04/1989]',1.875,1.875
'[16:13:34.930 24/04/1989]',-6.283,6.283
'[16:13:34.940 24/04/1989]',-8.252,8.252
'[16:13:34.950 24/04/1989]',-6.658,6.658
'[16:13:34.960 24/04/1989]',0.188,0.188
'[16:13:34.970 24/04/1989]',-0.656,0.656
'[16:13:34.980 24/04/1989]',0.469,0.469
'[16:13:34.990 24/04/1989]',0.656,0.656
'[16:13:35.000 24/04/1989]',-4.501,4.501
'[16:13:35.010 24/04/1989]',-9.659,9.659
'[16:13:35.020 24/04/1989]',-2.813,2.813
'[16:13:35.030 24/04/1989]',-7.502,7.502
'[16:13:35.040 24/04/1989]',-7.314,7.314
'[16:13:35.050 24/04/1989]',-4.501,4.501
'[16:13:35.060 24/04/1989]',1.5,1.5
'[16:13:35.070 24/04/1989]',5.439,5.439
'[16:13:35.080 24/04/1989]',10.878,10.878
'[16:13:35.090 24/04/1989]',8.721,8.721
'[16:13:35.100 24/04/1989]',7.408,7.408
'[16:13:35.110 24/04/1989]',2.907,2.907
'[16:13:35.120 24/04/1989]',6.283,6.283
'[16:13:35.130 24/04/1989]',3.938,3.938
'[16:13:35.140 24/04/1989]',8.064,8.064
'[16:13:35.150 24/04/1989]',9.659,9.659
'[16:13:35.160 24/04/1989]',6.658,6.658
'[16:13:35.170 24/04/1989]',5.626,5.626
'[16:13:35.180 24/04/1989]',6.377,6.377
'[16:13:35.190 24/04/1989]',15.566,15.566
'[16:13:35.200 24/04/1989]',15.754,15.754
'[16:13:35.210 24/04/1989]',12.19,12.19
'[16:13:35.220 24/04/1989]',15.004,15.004
'[16:13:35.230 24/04/1989]',13.034,13.034
'[16:13:35.240 24/04/1989]',12.284,12.284
'[16:13:35.250 24/04/1989]',10.69,10.69
'[16:13:35.260 24/04/1989]',12.003,12.003
'[16:13:35.270 24/04/1989]',6.189,6.189
'[16:13:35.280 24/04/1989]',8.064,8.064
'[16:13:35.290 24/04/1989]',3.751,3.751
'[16:13:35.300 24/04/1989]',1.407,1.407
'[16:13:35.310 24/04/1989]',0,0
'[16:13:35.320 24/04/1989]',2.344,2.344
'[16:13:35.330 24/04/1989]',7.127,7.127
'[16:13:35.340 24/04/1989]',6.752,6.752
'[16:13:35.350 24/04/1989]',-0.188,0.188
'[16:13:35.360 24/04/1989]',8.627,8.627
'[16:13:35.370 24/04/1989]',1.875,1.875
'[16:13:35.380 24/04/1989]',12.003,12.003
'[16:13:35.390 24/04/1989]',3.938,3.938
'[16:13:35.400 24/04/1989]',4.407,4.407
'[16:13:35.410 24/04/1989]',3.47,3.47
'[16:13:35.420 24/04/1989]',0.844,0.844
'[16:13:35.430 24/04/1989]',5.064,5.064
'[16:13:35.440 24/04/1989]',7.033,7.033
'[16:13:35.450 24/04/1989]',6.095,6.095
'[16:13:35.460 24/04/1989]',1.782,1.782
'[16:13:35.470 24/04/1989]',-2.251,2.251
'[16:13:35.480 24/04/1989]',-6.47,6.47
'[16:13:35.490 24/04/1989]',-6.658,6.658
'[16:13:35.500 24/04/1989]',-5.814,5.814
'[16:13:35.510 24/04/1989]',-0.656,0.656
'[16:13:35.520 24/04/1989]',-2.157,2.157
'[16:13:35.530 24/04/1989]',-3.095,3.095
'[16:13:35.540 24/04/1989]',-7.596,7.596
'[16:13:35.550 24/04/1989]',-5.251,5.251
'[16:13:35.560 24/04/1989]',-8.533,8.533
'[16:13:35.570 24/04/1989]',-2.813,2.813
'[16:13:35.580 24/04/1989]',-1.219,1.219
'[16:13:35.590 24/04/1989]',3.657,3.657
'[16:13:35.600 24/04/1989]',-4.501,4.501
'[16:13:35.610 24/04/1989]',-10.503,10.503
'[16:13:35.620 24/04/1989]',-7.689,7.689
'[16:13:35.630 24/04/1989]',-0.563,0.563
'[16:13:35.640 24/04/1989]',2.626,2.626
'[16:13:35.650 24/04/1989]',-4.22,4.22
'[16:13:35.660 24/04/1989]',-2.157,2.157
'[16:13:35.670 24/04/1989]',-2.626,2.626
'[16:13:35.680 24/04/1989]',0.188,0.188
'[16:13:35.690 24/04/1989]',-3.282,3.282
'[16:13:35.700 24/04/1989]',-0.281,0.281
'[16:13:35.710 24/04/1989]',1.688,1.688
'[16:13:35.720 24/04/1989]',4.032,4.032
'[16:13:35.730 24/04/1989]',2.344,2.344
'[16:13:35.740 24/04/1989]',5.064,5.064
'[16:13:35.750 24/04/1989]',5.626,5.626
'[16:13:35.760 24/04/1989]',0.188,0.188
'[16:13:35.770 24/04/1989]',4.501,4.501
'[16:13:35.780 24/04/1989]',15.754,15.754
'[16:13:35.790 24/04/1989]',17.723,17.723
'[16:13:35.800 24/04/1989]',8.252,8.252
'[16:13:35.810 24/04/1989]',0.188,0.188
'[16:13:35.820 24/04/1989]',4.782,4.782
'[16:13:35.830 24/04/1989]',-4.501,4.501
'[16:13:35.840 24/04/1989]',11.722,11.722
'[16:13:35.850 24/04/1989]',15.285,15.285
'[16:13:35.860 24/04/1989]',11.44,11.44
'[16:13:35.870 24/04/1989]',-3.095,3.095
'[16:13:35.880 24/04/1989]',-3.751,3.751
'[16:13:35.890 24/04/1989]',3.47,3.47
'[16:13:35.900 24/04/1989]',-5.626,5.626
'[16:13:35.910 24/04/1989]',-1.313,1.313
'[16:13:35.920 24/04/1989]',2.532,2.532
'[16:13:35.930 24/04/1989]',-0.469,0.469
'[16:13:35.940 24/04/1989]',13.41,13.41
'[16:13:35.950 24/04/1989]',9.002,9.002
'[16:13:35.960 24/04/1989]',-13.878,13.878
'[16:13:35.970 24/04/1989]',-7.127,7.127
'[16:13:35.980 24/04/1989]',0.844,0.844
'[16:13:35.990 24/04/1989]',-19.88,19.88
'[16:13:36.000 24/04/1989]',1.875,1.875
'[16:13:36.010 24/04/1989]',-8.064,8.064
'[16:13:36.020 24/04/1989]',-4.782,4.782
'[16:13:36.030 24/04/1989]',-5.158,5.158
'[16:13:36.040 24/04/1989]',-3.376,3.376
'[16:13:36.050 24/04/1989]',-3.001,3.001
'[16:13:36.060 24/04/1989]',-19.13,19.13
'[16:13:36.070 24/04/1989]',7.689,7.689
'[16:13:36.080 24/04/1989]',-13.972,13.972
'[16:13:36.090 24/04/1989]',-7.502,7.502
'[16:13:36.100 24/04/1989]',-10.503,10.503
'[16:13:36.110 24/04/1989]',-37.04,37.04
'[16:13:36.120 24/04/1989]',-7.127,7.127
'[16:13:36.130 24/04/1989]',-10.409,10.409
'[16:13:36.140 24/04/1989]',-28.976,28.976
'[16:13:36.150 24/04/1989]',-8.815,8.815
'[16:13:36.160 24/04/1989]',0.563,0.563
'[16:13:36.170 24/04/1989]',-19.13,19.13
'[16:13:36.180 24/04/1989]',-4.501,4.501
'[16:13:36.190 24/04/1989]',-12.19,12.19
'[16:13:36.200 24/04/1989]',-9.565,9.565
'[16:13:36.210 24/04/1989]',-3.657,3.657
'[16:13:36.220 24/04/1989]',-4.22,4.22
'[16:13:36.230 24/04/1989]',-11.253,11.253
'[16:13:36.240 24/04/1989]',-3.845,3.845
'[16:13:36.250 24/04/1989]',-20.911,20.911
'[16:13:36.260 24/04/1989]',-22.13,22.13
'[16:13:36.270 24/04/1989]',-17.817,17.817
'[16:13:36.280 24/04/1989]',-16.504,16.504
'[16:13:36.290 24/04/1989]',-17.348,17.348
'[16:13:36.300 24/04/1989]',-18.192,18.192
'[16:13:36.310 24/04/1989]',-20.724,20.724
'[16:13:36.320 24/04/1989]',-18.848,18.848
'[16:13:36.330 24/04/1989]',-13.222,13.222
'[16:13:36.340 24/04/1989]',-23.631,23.631
'[16:13:36.350 24/04/1989]',-14.91,14.91
'[16:13:36.360 24/04/1989]',-11.44,11.44
'[16:13:36.370 24/04/1989]',-21.193,21.193
'[16:13:36.380 24/04/1989]',-17.629,17.629
'[16:13:36.390 24/04/1989]',-14.441,14.441
'[16:13:36.400 24/04/1989]',-16.692,16.692
'[16:13:36.410 24/04/1989]',-22.599,22.599
'[16:13:36.420 24/04/1989]',-13.316,13.316
'[16:13:36.430 24/04/1989]',-9.377,9.377
'[16:13:36.440 24/04/1989]',-9.284,9.284
'[16:13:36.450 24/04/1989]',-14.253,14.253
'[16:13:36.460 24/04/1989]',-12.378,12.378
'[16:13:36.470 24/04/1989]',-14.629,14.629
'[16:13:36.480 24/04/1989]',-8.627,8.627
'[16:13:36.490 24/04/1989]',-13.503,13.503
'[16:13:36.500 24/04/1989]',-16.785,16.785
'[16:13:36.510 24/04/1989]',-18.848,18.848
'[16:13:36.520 24/04/1989]',-17.254,17.254
'[16:13:36.530 24/04/1989]',-12.472,12.472
'[16:13:36.540 24/04/1989]',-9.659,9.659
'[16:13:36.550 24/04/1989]',-10.221,10.221
'[16:13:36.560 24/04/1989]',-5.064,5.064
'[16:13:36.570 24/04/1989]',2.813,2.813
'[16:13:36.580 24/04/1989]',-2.438,2.438
'[16:13:36.590 24/04/1989]',0.75,0.75
'[16:13:36.600 24/04/1989]',-9.752,9.752
'[16:13:36.610 24/04/1989]',-3.563,3.563
'[16:13:36.620 24/04/1989]',-1.969,1.969
'[16:13:36.630 24/04/1989]',-9.471,9.471
'[16:13:36.640 24/04/1989]',-6.564,6.564
'[16:13:36.650 24/04/1989]',-5.158,5.158
'[16:13:36.660 24/04/1989]',3.938,3.938
'[16:13:36.670 24/04/1989]',-6.47,6.47
'[16:13:36.680 24/04/1989]',-0.656,0.656
'[16:13:36.690 24/04/1989]',-8.815,8.815
'[16:13:36.700 24/04/1989]',-2.157,2.157
'[16:13:36.710 24/04/1989]',7.314,7.314
'[16:13:36.720 24/04/1989]',8.815,8.815
'[16:13:36.730 24/04/1989]',2.063,2.063
'[16:13:36.740 24/04/1989]',18.379,18.379
'[16:13:36.750 24/04/1989]',4.126,4.126
'[16:13:36.760 24/04/1989]',-4.032,4.032
'[16:13:36.770 24/04/1989]',-2.626,2.626
'[16:13:36.780 24/04/1989]',2.438,2.438
'[16:13:36.790 24/04/1989]',-6.752,6.752
'[16:13:36.800 24/04/1989]',-12.19,12.19
'[16:13:36.810 24/04/1989]',1.032,1.032
'[16:13:36.820 24/04/1989]',10.878,10.878
'[16:13:36.830 24/04/1989]',-2.813,2.813
'[16:13:36.840 24/04/1989]',5.626,5.626
'[16:13:36.850 24/04/1989]',8.064,8.064
'[16:13:36.860 24/04/1989]',17.629,17.629
'[16:13:36.870 24/04/1989]',10.315,10.315
'[16:13:36.880 24/04/1989]',8.252,8.252
'[16:13:36.890 24/04/1989]',-5.251,5.251
'[16:13:36.900 24/04/1989]',-0.094,0.094
'[16:13:36.910 24/04/1989]',6.47,6.47
'[16:13:36.920 24/04/1989]',1.5,1.5
'[16:13:36.930 24/04/1989]',2.251,2.251
'[16:13:36.940 24/04/1989]',-8.721,8.721
'[16:13:36.950 24/04/1989]',-4.97,4.97
'[16:13:36.960 24/04/1989]',-0.281,0.281
'[16:13:36.970 24/04/1989]',-7.033,7.033
'[16:13:36.980 24/04/1989]',-0.938,0.938
'[16:13:36.990 24/04/1989]',-8.815,8.815
'[16:13:37.000 24/04/1989]',-4.22,4.22
'[16:13:37.010 24/04/1989]',-4.126,4.126
'[16:13:37.020 24/04/1989]',-6.845,6.845
'[16:13:37.030 24/04/1989]',-11.159,11.159
'[16:13:37.040 24/04/1989]',-8.721,8.721
'[16:13:37.050 24/04/1989]',-10.034,10.034
'[16:13:37.060 24/04/1989]',-8.815,8.815
'[16:13:37.070 24/04/1989]',-13.41,13.41
'[16:13:37.080 24/04/1989]',-12.659,12.659
'[16:13:37.090 24/04/1989]',-11.44,11.44
'[16:13:37.100 24/04/1989]',-5.251,5.251
'[16:13:37.110 24/04/1989]',-1.875,1.875
'[16:13:37.120 24/04/1989]',0.469,0.469
'[16:13:37.130 24/04/1989]',-11.159,11.159
'[16:13:37.140 24/04/1989]',1.313,1.313
'[16:13:37.150 24/04/1989]',6.845,6.845
'[16:13:37.160 24/04/1989]',4.126,4.126
'[16:13:37.170 24/04/1989]',0.375,0.375
'[16:13:37.180 24/04/1989]',-3.845,3.845
'[16:13:37.190 24/04/1989]',-0.094,0.094
'[16:13:37.200 24/04/1989]',-2.157,2.157
'[16:13:37.210 24/04/1989]',4.595,4.595
'[16:13:37.220 24/04/1989]',3.47,3.47
'[16:13:37.230 24/04/1989]',10.221,10.221
'[16:13:37.240 24/04/1989]',7.596,7.596
'[16:13:37.250 24/04/1989]',6.939,6.939
'[16:13:37.260 24/04/1989]',10.69,10.69
'[16:13:37.270 24/04/1989]',17.723,17.723
'[16:13:37.280 24/04/1989]',24.193,24.193
'[16:13:37.290 24/04/1989]',16.504,16.504
'[16:13:37.300 24/04/1989]',9.565,9.565
'[16:13:37.310 24/04/1989]',10.127,10.127
'[16:13:37.320 24/04/1989]',7.502,7.502
'[16:13:37.330 24/04/1989]',-11.253,11.253
'[16:13:37.340 24/04/1989]',10.315,10.315
'[16:13:37.350 24/04/1989]',-6.845,6.845
'[16:13:37.360 24/04/1989]',-10.221,10.221
'[16:13:37.370 24/04/1989]',-36.478,36.478
'[16:13:37.380 24/04/1989]',-59.64,59.64
'[16:13:37.390 24/04/1989]',-62.828,62.828
'[16:13:37.400 24/04/1989]',-62.64,62.64
'[16:13:37.410 24/04/1989]',-61.14,61.14
'[16:13:37.420 24/04/1989]',-59.64,59.64
'[16:13:37.430 24/04/1989]',-56.076,56.076
'[16:13:37.440 24/04/1989]',-42.385,42.385
'[16:13:37.450 24/04/1989]',-31.977,31.977
'[16:13:37.460 24/04/1989]',-17.817,17.817
'[16:13:37.470 24/04/1989]',-10.784,10.784
'[16:13:37.480 24/04/1989]',1.782,1.782
'[16:13:37.490 24/04/1989]',9.94,9.94
'[16:13:37.500 24/04/1989]',14.91,14.91
'[16:13:37.510 24/04/1989]',18.004,18.004
'[16:13:37.520 24/04/1989]',26.444,26.444
'[16:13:37.530 24/04/1989]',31.414,31.414
'[16:13:37.540 24/04/1989]',29.445,29.445
'[16:13:37.550 24/04/1989]',35.352,35.352
'[16:13:37.560 24/04/1989]',35.352,35.352
'[16:13:37.570 24/04/1989]',31.414,31.414
'[16:13:37.580 24/04/1989]',38.541,38.541
'[16:13:37.590 24/04/1989]',36.384,36.384
'[16:13:37.600 24/04/1989]',40.322,40.322
'[16:13:37.610 24/04/1989]',32.258,32.258
'[16:13:37.620 24/04/1989]',34.321,34.321
'[16:13:37.630 24/04/1989]',36.665,36.665
'[16:13:37.640 24/04/1989]',37.134,37.134
'[16:13:37.650 24/04/1989]',30.382,30.382
'[16:13:37.660 24/04/1989]',32.727,32.727
'[16:13:37.670 24/04/1989]',22.599,22.599
